FirstNight,Tasa_PickUP,Reservaciones_Libros_2018,Reservaciones_PickUp_2018,TasaNoShow,TasaCancelación,Reservaciones_Libros_2019,Estancia_Promedio
23/07/2017,0.655753968,2016,1322,0.014880952,0.077876984,,6.2910263
17/02/2018,0.645102506,2195,1416,0.030979499,0.143963554,,7.2882273
19/11/2017,0.626287099,1651,1034,0.057540884,0.19442762,,6.5823245
02/02/2018,0.796646604,2326,1853,0.020206363,0.104041273,,7.6612972
10/06/2017,0.19558011,1810,354,0.072375691,0.114364641,,6.5751238
09/06/2017,0.266965429,1562,417,0.027528809,0.068501921,,6.2041588
12/01/2018,0.811363636,1760,1428,0.03125,0.107386364,,7.3555927
19/05/2017,0.209435311,1399,293,0.039313796,0.090779128,,6.2811839
17/07/2017,0.514150943,848,436,0.010613208,0.071933962,,6.3008037
30/09/2017,0.651769088,1074,700,0.096834264,0.134078212,,6.7394495
02/12/2017,0.718138551,1891,1358,0.082496034,0.114225278,,6.775853
18/12/2017,0.787018256,493,388,0.036511156,0.097363083,,6.5423729
04/05/2017,0.133111481,601,80,0.009983361,0.301164725,,3.5268987
17/09/2017,0.719072165,776,558,0.056701031,0.108247423,,6.2794872
25/01/2018,0.862068966,435,375,0.009195402,0.243678161,,2.9094828
06/07/2017,0.604240283,283,171,0.03180212,0.254416961,,3.8914474
07/08/2017,0.76146789,545,415,0.012844037,0.093577982,,6.0905983
05/08/2017,0.650106838,1872,1217,0.049679487,0.093482906,,6.6498137
04/08/2017,0.75,1656,1242,0.015096618,0.077294686,,6.5643327
12/08/2017,0.653935185,1728,1130,0.046875,0.097222222,,6.6018412
08/02/2018,0.970588235,170,165,0.047058824,0.052941176,,4.7411168
12/10/2017,0.928143713,334,310,0.02994012,0.065868263,,3.902965
31/07/2017,0.791987673,649,514,0.00770416,0.061633282,,6.5300146
16/12/2017,0.656073139,2297,1507,0.05703091,0.126686983,,6.8115502
31/10/2017,0.851190476,168,143,0.035714286,0.083333333,,6.1830986
03/11/2017,0.638906153,1609,1028,0.034804226,0.152889994,,6.5304136
20/08/2017,0.747582205,1034,773,0.041586074,0.092843327,,6.3406489
23/02/2018,0.843406593,1820,1535,0.023076923,0.114835165,,6.7501332
16/02/2018,0.805188199,1966,1583,0.023906409,0.124618515,,6.8368159
04/09/2017,0.844370861,302,255,0.033112583,0.105960265,,6.9907407
28/08/2017,0.824925816,337,278,0.077151335,0.091988131,,6.1706667
11/02/2018,0.847692308,1300,1102,0.029230769,0.116153846,,7.2617038
05/02/2018,0.773913043,575,445,0.022608696,0.106086957,,8.2023217
28/10/2017,0.585265327,1941,1136,0.072642968,0.128799588,,6.8441624
27/10/2017,0.698781196,1723,1204,0.043528729,0.142193848,,6.2420168
28/12/2017,0.885093168,322,285,0.02173913,0.102484472,,4.4455446
14/01/2018,0.815936255,1255,1024,0.029482072,0.115537849,,7.2619048
07/09/2017,0.847222222,216,183,0.037037037,0.078703704,,4.2016807
07/07/2017,0.437615243,1627,712,0.028887523,0.085433313,,6.3260606
11/01/2018,0.972972973,222,216,0.022522523,0.310810811,,4.6666667
20/11/2017,0.760115607,692,526,0.024566474,0.11849711,,6.3027778
18/11/2017,0.53474212,2792,1493,0.044412607,0.196275072,,6.5071073
12/05/2017,0.152949246,1458,223,0.034293553,0.069958848,,5.7188347
26/06/2017,0.396258503,588,233,0.018707483,0.071428571,,6.2263844
13/08/2017,0.779569892,1674,1305,0.028076464,0.11051374,,6.1961837
17/11/2017,0.655555556,2070,1357,0.041062802,0.179710145,,5.878327
14/07/2017,0.450277949,1619,729,0.018529957,0.104385423,,6.5293758
30/10/2017,0.654545455,495,324,0.026262626,0.141414141,,6.7138315
22/08/2017,0.875,168,147,0.089285714,0.083333333,,4.8251366
26/08/2017,0.603305785,1089,657,0.107438017,0.142332415,,6.4361314
02/07/2017,0.443649374,1677,744,0.029218843,0.088252832,,6.557211
03/08/2017,0.92408377,382,353,0.031413613,0.054973822,,3.6552567
09/07/2017,0.481623697,1823,878,0.024684586,0.074053758,,6.5696272
08/06/2017,0.603238866,247,149,0.048582996,0.097165992,,4.1641221
20/06/2017,0.64556962,158,102,0.025316456,0.088607595,,4.6337209
15/07/2017,0.377134725,2108,795,0.040796964,0.118595825,,6.862069
02/05/2017,0.059090909,220,13,0.022727273,0.327272727,,4.8977273
25/09/2017,0.851301115,269,229,0.05204461,0.085501859,,6.6343042
24/11/2017,0.806872038,1688,1362,0.042654028,0.138033175,,6.0892649
19/02/2018,0.810606061,528,428,0.018939394,0.104166667,,7.3192982
12/02/2018,0.791590494,547,433,0.042047532,0.106032907,,7.0658579
24/09/2017,0.720121029,661,476,0.049924357,0.1301059,,7.1951952
29/12/2017,0.755102041,2254,1702,0.02173913,0.135758651,,6.6655348
14/10/2017,0.620711974,1545,959,0.089320388,0.16828479,,6.5536977
28/11/2017,0.352848101,632,223,0.014240506,0.379746835,,4.8367647
10/11/2017,0.671182266,1624,1090,0.03817734,0.128694581,,6.1490268
06/08/2017,0.799392097,1645,1315,0.027963526,0.068085106,,6.1321212
21/09/2017,0.947740113,708,671,0.088983051,0.214689266,,3.1128818
17/01/2018,0.976190476,126,123,0.103174603,0.023809524,,5.0063291
12/06/2017,0.358208955,402,144,0.039800995,0.07960199,,6.1341176
09/09/2017,0.638215325,1031,658,0.090203686,0.129970902,,6.5458937
11/08/2017,0.694664554,1893,1315,0.026413101,0.091917591,,6.3822454
23/09/2017,0.669483568,1065,713,0.097652582,0.119248826,,6.861137
18/05/2017,0.26446281,726,192,0.019283747,0.081267218,,3.9771812
23/11/2017,0.955156951,223,213,0.058295964,0.062780269,,3.6987448
30/11/2017,0.920689655,290,267,0.027586207,0.14137931,,5.4012346
19/07/2017,0.764705882,119,91,0.025210084,0.067226891,,6.2296296
16/06/2017,0.299386503,1630,488,0.037423313,0.092638037,,5.8905021
03/06/2017,0.159668508,1810,289,0.070165746,0.116574586,,6.8410596
25/05/2017,0.480349345,458,220,0.03930131,0.23580786,,4.7088608
15/06/2017,0.45177665,394,178,0.017766497,0.23857868,,4.527845
17/06/2017,0.207618026,1864,387,0.058476395,0.128755365,,6.5616658
18/07/2017,0.761363636,176,134,0.045454545,0.051136364,,5.4814815
15/12/2017,0.75245478,1935,1456,0.037726098,0.145736434,,6.6809378
31/05/2017,0.229651163,1376,316,0.01744186,0.078488372,,3.5369176
14/02/2018,1,118,118,0.059322034,0.084745763,,4.7971014
24/01/2018,0.977777778,90,88,0.022222222,0.077777778,,4.8151261
01/12/2017,0.764604811,1746,1335,0.0395189,0.126575029,,6.3433258
07/01/2018,0.831811263,1314,1093,0.0304414,0.099695586,,7.7646166
13/07/2017,0.726415094,212,154,0.023584906,0.056603774,,4.2594142
22/06/2017,0.864444444,450,389,0.028888889,0.377777778,,8.8702128
04/10/2017,0.629434954,761,479,0.023653088,0.419185283,,3.8445006
07/12/2017,0.735042735,351,258,0.037037037,0.384615385,,3.7798408
01/11/2017,0.897674419,430,386,0.048837209,0.130232558,,4.8808511
04/01/2018,0.943319838,247,233,0.032388664,0.101214575,,3.7793103
26/12/2017,0.875989446,379,332,0.039577836,0.094986807,,5.715311
08/08/2017,0.883040936,171,151,0.046783626,0.052631579,,4.4402174
27/12/2017,0.922619048,168,155,0.047619048,0.035714286,,5.8375
01/03/2018,0.984555985,259,255,0.030888031,0.11969112,,4.5647841
14/08/2017,0.824074074,432,356,0.046296296,0.090277778,,5.916309
17/12/2017,0.723004695,1704,1232,0.044600939,0.119131455,,6.6442364
03/05/2017,0.202797203,143,29,0.020979021,0.048951049,,6.6036585
17/08/2017,0.916398714,311,285,0.061093248,0.099678457,,3.4320988
26/10/2017,0.723880597,402,291,0.037313433,0.325870647,,3.7488688
14/09/2017,0.834575261,671,560,0.044709389,0.205663189,,3.6011561
16/05/2017,0.484848485,165,80,0.024242424,0.054545455,,7.3838384
15/02/2018,0.993103448,145,144,0.055172414,0.082758621,,4.28
19/06/2017,0.390057361,523,204,0.034416826,0.072657744,,6.0327273
22/09/2017,0.752556237,978,736,0.091002045,0.112474438,,5.6182903
18/09/2017,0.806338028,284,229,0.049295775,0.13028169,,6.0253968
10/07/2017,0.556982343,623,347,0.017656501,0.081861958,,6.0801815
01/10/2017,0.726082578,993,721,0.055387714,0.130916415,,7.1885657
27/11/2017,0.725897921,529,384,0.018903592,0.151228733,,6.5214286
09/10/2017,0.865384615,624,540,0.030448718,0.051282051,,4.9513678
02/10/2017,0.744252874,348,259,0.043103448,0.149425287,,6.3490814
18/01/2018,0.988095238,168,166,0.035714286,0.077380952,,4.3065327
25/07/2017,0.829787234,141,117,0.042553191,0.014184397,,5.089172
09/02/2018,0.829558324,1766,1465,0.022083805,0.114382786,,7.2795998
06/05/2017,0.054712893,1846,101,0.096424702,0.164138678,,6.5818966
22/05/2017,0.239904988,421,101,0.016627078,0.102137767,,6.0138249
10/09/2017,0.713261649,837,597,0.063321386,0.113500597,,6.4637337
03/09/2017,0.729268293,820,598,0.06097561,0.091463415,,14.442961
29/06/2017,0.910994764,573,522,0.006980803,0.527050611,,3.3826531
16/11/2017,0.926470588,272,252,0.014705882,0.069852941,,4.2323232
02/06/2017,0.230721393,1608,371,0.028606965,0.065920398,,6.2875616
09/05/2017,0.336448598,107,36,0.065420561,0.037383178,,5.4028777
21/11/2017,0.903553299,197,178,0.040609137,0.106598985,,5
02/01/2018,0.939716312,282,265,0.014184397,0.092198582,,5.6732026
04/02/2018,0.838200474,1267,1062,0.027624309,0.078137332,,7.4767899
01/02/2018,0.983606557,244,240,0.032786885,0.163934426,,4.5823755
09/11/2017,0.515151515,495,255,0.018181818,0.264646465,,3.2030361
20/10/2017,0.663902709,1809,1201,0.112769486,0.171365395,,6.0454054
27/07/2017,0.8375,400,335,0.0425,0.085,,3.5707434
05/10/2017,0.914285714,350,320,0.051428571,0.14,,4.4605263
19/10/2017,0.882821388,879,776,0.027303754,0.467576792,,3.3145695
22/02/2018,0.978354978,231,226,0.051948052,0.077922078,,4.1241135
28/05/2017,0.247363375,1043,258,0.036433365,0.082454458,,6.2480843
13/10/2017,0.643078833,1611,1036,0.153941651,0.137802607,,5.9410693
07/11/2017,0.85326087,184,157,0.081521739,0.163043478,,4.7596154
08/10/2017,0.781531532,1332,1041,0.042792793,0.28003003,,6.4546137
07/06/2017,0.59602649,151,90,0.039735099,0.119205298,,5.1764706
03/07/2017,0.546031746,630,344,0.022222222,0.06984127,,5.8208723
14/11/2017,0.932960894,179,167,0.044692737,0.055865922,,4.7211538
05/06/2017,0.323834197,386,125,0.025906736,0.07253886,,6.220339
16/10/2017,0.781176471,425,332,0.035294118,0.256470588,,5.9537445
28/02/2018,0.94488189,127,120,0.047244094,0.125984252,,6.8786408
28/06/2017,0.744444444,180,134,0.027777778,0.083333333,,4.8097561
26/07/2017,0.838709677,124,104,0.040322581,0.032258065,,5.1419355
27/02/2018,0.989795918,98,97,0.030612245,0.051020408,,5.9125
22/11/2017,0.873239437,142,124,0.063380282,0.084507042,,4.5333333
26/11/2017,0.791633146,1243,984,0.037811746,0.093322607,,6.4795509
12/11/2017,0.709762533,1137,807,0.039577836,0.127528584,,6.8165057
10/08/2017,0.913621262,301,275,0.016611296,0.079734219,,3.7626582
15/08/2017,0.848684211,152,129,0.078947368,0.085526316,,4.7016575
13/09/2017,0.901098901,182,164,0.016483516,0.071428571,,4.3592233
19/12/2017,0.913793103,116,106,0.051724138,0.25,,5.7908497
10/10/2017,0.939393939,165,155,0.042424242,0.103030303,,4.757732
31/08/2017,0.887372014,293,260,0.034129693,0.146757679,,4.2361963
10/05/2017,0.382978723,141,54,0.035460993,0.028368794,,4.3962264
12/09/2017,0.808333333,120,97,0.075,0.066666667,,4.7647059
11/10/2017,0.978087649,502,491,0.021912351,0.113545817,,3.6561922
05/09/2017,0.913043478,115,105,0.034782609,0.095652174,,5.3660131
06/11/2017,0.594728171,607,361,0.046128501,0.148270181,,6.7848297
12/07/2017,0.730434783,115,84,0.052173913,0.069565217,,4.8372093
21/06/2017,0.725,160,116,0.03125,0.18125,,3.9578947
03/01/2018,0.907284768,151,137,,0.099337748,,5.1088083
05/11/2017,0.667234043,1175,784,0.033191489,0.112340426,,6.9078614
20/02/2018,0.97979798,99,97,0.050505051,0.070707071,,5.5100671
23/10/2017,0.777777778,495,385,0.032323232,0.15959596,,5.9233645
08/11/2017,0.4375,320,140,0.028125,0.140625,,3.4178674
15/05/2017,0.175903614,415,73,0.031325301,0.118072289,,10.234624
21/02/2018,0.985074627,134,132,0.097014925,0.126865672,,4.8470588
13/11/2017,0.715667311,517,370,0.03868472,0.14893617,,6.8252252
08/05/2017,0.146153846,390,57,0.069230769,0.087179487,,6.0956938
04/12/2017,0.776286353,447,347,0.071588367,0.085011186,,6.5432099
10/01/2018,0.991935484,124,123,0.040322581,0.040322581,,5.6975309
17/05/2017,0.418719212,203,85,0.019704433,0.049261084,,5.1369863
20/09/2017,0.96744186,430,416,0.034883721,0.56744186,,3.0353201
11/12/2017,0.852941176,408,348,0.044117647,0.088235294,,5.8259912
30/05/2017,0.458536585,205,94,0.043902439,0.092682927,,7.814978
06/06/2017,0.414814815,135,56,,0.066666667,,5.8815789
02/08/2017,0.884146341,164,145,0.024390244,0.067073171,,5
21/08/2017,0.826446281,363,300,0.046831956,0.077134986,,6.0287958
14/12/2017,0.76344086,279,213,0.021505376,0.268817204,,3.8485804
15/11/2017,0.948717949,156,148,0.044871795,0.121794872,,5.3932039
27/09/2017,0.172588832,591,102,0.00676819,0.040609137,,3.394822
13/06/2017,0.63559322,118,75,0.033898305,0.050847458,,5.070922
30/01/2018,0.933333333,90,84,0.077777778,0.033333333,,6.3548387
06/12/2017,0.934010152,197,184,0.050761421,0.340101523,,5.3542601
16/09/2017,0.652043868,1003,654,0.073778664,0.124626122,,6.5178218
30/08/2017,0.548387097,217,119,0.096774194,0.165898618,,3.5306122
03/10/2017,0.943925234,214,202,0.03271028,0.205607477,,5.0791667
27/06/2017,0.605263158,152,92,0.072368421,0.065789474,,5
09/01/2018,0.992141454,509,505,0.017681729,0.752455796,,3.7864769
05/07/2017,0.698113208,159,111,0.012578616,0.062893082,,4.7619048
18/10/2017,0.5125,560,287,0.010714286,0.332142857,,3.4023769
14/06/2017,0.65625,128,84,0.03125,0.0859375,,4.0794702
16/01/2018,0.931034483,116,108,0.094827586,0.103448276,,8.1208054
09/08/2017,0.900662252,151,136,0.01986755,0.112582781,,4.8895028
17/10/2017,0.951515152,165,157,0.084848485,0.16969697,,5.6778846
25/10/2017,0.665083135,421,280,0.011876485,0.104513064,,3.9100642
23/05/2017,0.507936508,126,64,0.031746032,0.055555556,,4.6225166
29/11/2017,0.873333333,150,131,0.146666667,0.086666667,,4.2905028
21/12/2017,0.975845411,207,202,0.173913043,0.048309179,,5.4578313
24/05/2017,0.47804878,205,98,0.029268293,0.117073171,,5.9419643
31/01/2018,1,99,99,0.050505051,0.101010101,,7.2878788
29/08/2017,0.8671875,128,111,0.046875,0.140625,,4.6987952
13/02/2018,0.992592593,135,134,0.02962963,0.192592593,,5.0432432
11/07/2017,0.74025974,154,114,,0.045454545,,4.9777778
16/08/2017,0.919075145,173,159,0.075144509,0.046242775,,4.4923858
24/10/2017,0.903448276,145,131,0.04137931,0.048275862,,5.5876289
23/08/2017,0.876404494,178,156,0.050561798,0.179775281,,3.9623656
26/09/2017,0.929577465,71,66,0.014084507,0.084507042,,7.2815534
23/01/2018,0.945054945,91,86,0.054945055,0.120879121,,4.9827586
19/09/2017,0.88,100,88,0.08,0.06,,4.940678
04/07/2017,0.752873563,174,131,0.040229885,0.045977011,,4.4475138
05/12/2017,0.991666667,120,119,0.1,0.091666667,,5.5342466
07/02/2018,0.941666667,120,113,0.05,0.075,,7.4370861
20/12/2017,0.956521739,92,88,0.043478261,0.032608696,,6.2461538
06/02/2018,0.956896552,116,111,0.034482759,0.060344828,,5.2151899
20/05/2018,,,,,,966,7.8509317
07/07/2018,,,,,,1137,6.0677221
05/08/2018,,,,,,474,6.1835443
16/06/2018,,,,,,1171,6.8778822
12/05/2018,,,,,,1370,7.110219
30/12/2018,,,,,,423,6.4491726
17/11/2018,,,,,,916,7.4181223
02/02/2019,,,,,,498,11.170683
09/02/2019,,,,,,394,9.2664975
22/12/2018,,,,,,698,7.4727794
29/12/2018,,,,,,570,7.2701754
11/01/2019,,,,,,315,9.7015873
16/02/2019,,,,,,489,8.801636
23/12/2018,,,,,,485,6.8020619
24/12/2018,,,,,,130,6.8153846
13/10/2018,,,,,,439,7.1890661
27/10/2018,,,,,,605,7.368595
14/07/2018,,,,,,1102,6.3593466
04/08/2018,,,,,,501,6.99002
11/06/2018,,,,,,303,6.5643564
28/01/2019,,,,,,146,6.739726
21/01/2019,,,,,,78,9.8974359
20/10/2018,,,,,,474,7.4683544
04/05/2018,,,,,,1236,6.3867314
15/07/2018,,,,,,1436,5.7123955
17/05/2018,,,,,,533,5.2363977
09/06/2018,,,,,,1063,6.8099718
12/01/2019,,,,,,434,10.009217
20/07/2018,,,,,,677,6.8138848
27/07/2018,,,,,,580,6.7931034
21/07/2018,,,,,,754,6.8753316
19/01/2019,,,,,,417,9.3477218
10/08/2018,,,,,,576,6.8125
28/05/2018,,,,,,268,6.4067164
10/09/2018,,,,,,48,7.125
08/09/2018,,,,,,225,6.9333333
24/11/2018,,,,,,434,7.8709677
03/06/2018,,,,,,874,6.8775744
06/08/2018,,,,,,111,6.7567568
01/06/2018,,,,,,1122,6.9545455
04/10/2018,,,,,,128,3.984375
17/06/2018,,,,,,979,6.6006129
23/06/2018,,,,,,1240,6.7258065
26/05/2018,,,,,,1116,6.9480287
22/02/2019,,,,,,241,7.813278
04/01/2019,,,,,,422,11.206161
26/10/2018,,,,,,383,6.2976501
05/05/2018,,,,,,1289,6.8518231
03/05/2018,,,,,,268,3.5783582
10/06/2018,,,,,,955,6.7759162
01/07/2018,,,,,,1053,6.5061728
07/01/2019,,,,,,96,10.84375
25/02/2019,,,,,,76,8.3947368
04/02/2019,,,,,,84,11.714286
23/07/2018,,,,,,235,6.5787234
11/02/2019,,,,,,82,9.402439
26/01/2019,,,,,,372,8.6639785
05/10/2018,,,,,,315,6.8603175
23/02/2019,,,,,,349,8.1919771
28/12/2018,,,,,,716,7.0405028
19/11/2018,,,,,,160,7.13125
03/11/2018,,,,,,638,8.0956113
31/05/2018,,,,,,194,5.3659794
26/08/2018,,,,,,157,6.477707
06/05/2018,,,,,,1082,6.0748614
02/05/2018,,,,,,328,4.0152439
10/11/2018,,,,,,532,7.4906015
01/05/2018,,,,,,229,6.8078603
22/09/2018,,,,,,245,6.9387755
24/05/2018,,,,,,1039,3.3638114
29/07/2018,,,,,,525,6.4247619
06/07/2018,,,,,,952,6.6386555
22/07/2018,,,,,,823,6.2053463
14/05/2018,,,,,,396,6.3131313
22/06/2018,,,,,,1251,6.361311
19/05/2018,,,,,,1112,6.8767986
21/10/2018,,,,,,267,7.3857678
08/06/2018,,,,,,1051,6.3644148
07/10/2018,,,,,,298,6.7080537
10/02/2019,,,,,,149,8.4966443
07/12/2018,,,,,,284,6.9683099
14/12/2018,,,,,,290,7.1758621
18/01/2019,,,,,,335,8.7641791
13/07/2018,,,,,,842,6.7779097
15/12/2018,,,,,,403,7.1960298
18/11/2018,,,,,,436,7.587156
25/11/2018,,,,,,233,7.4420601
28/06/2018,,,,,,96,3.875
15/06/2018,,,,,,1094,6.6681901
16/12/2018,,,,,,394,7.0101523
15/05/2018,,,,,,472,5.1419492
18/06/2018,,,,,,364,6.3626374
13/05/2018,,,,,,979,6.3697651
04/06/2018,,,,,,409,6.5647922
25/05/2018,,,,,,1086,6.2311234
18/05/2018,,,,,,1169,7.1351583
24/06/2018,,,,,,1186,6.7478921
09/07/2018,,,,,,561,4.7736185
11/05/2018,,,,,,1366,6.4289898
29/06/2018,,,,,,881,6.7343927
15/09/2018,,,,,,277,6.7400722
14/09/2018,,,,,,357,6.3081232
16/11/2018,,,,,,452,7.2765487
12/09/2018,,,,,,40,5.4
07/06/2018,,,,,,160,4.69375
14/06/2018,,,,,,137,4.9854015
28/07/2018,,,,,,586,6.9112628
25/06/2018,,,,,,385,6.4025974
30/06/2018,,,,,,1067,6.9137769
03/08/2018,,,,,,489,6.8445808
16/07/2018,,,,,,808,4.1002475
11/08/2018,,,,,,443,6.9683973
23/08/2018,,,,,,44,3.75
21/05/2018,,,,,,445,8.552809
02/11/2018,,,,,,500,7.864
01/12/2018,,,,,,481,8.1164241
02/06/2018,,,,,,984,6.796748
05/01/2019,,,,,,449,10.743875
23/09/2018,,,,,,340,6.9823529
07/05/2018,,,,,,405,5.8345679
19/10/2018,,,,,,302,7.1456954
02/07/2018,,,,,,338,6.7011834
11/11/2018,,,,,,303,7.1353135
04/11/2018,,,,,,354,7.6073446
25/08/2018,,,,,,248,6.7822581
17/02/2019,,,,,,141,7.751773
16/05/2018,,,,,,235,4.693617
02/12/2018,,,,,,638,4.4905956
23/11/2018,,,,,,340,7.0941176
01/09/2018,,,,,,316,6.585443
15/02/2019,,,,,,353,8.0283286
01/02/2019,,,,,,364,12.019231
08/12/2018,,,,,,309,7.4110032
25/01/2019,,,,,,256,8.1132813
27/05/2018,,,,,,873,7.4043528
12/11/2018,,,,,,105,7.6285714
18/08/2018,,,,,,378,6.8148148
21/12/2018,,,,,,533,7.2120075
03/12/2018,,,,,,638,4.468652
10/12/2018,,,,,,57,7.1052632
26/11/2018,,,,,,110,8.4272727
