FirstNight,Tasa_PickUP,Reservaciones_Libros_2018,Reservaciones_PickUp_2018,TasaNoShow,TasaCancelación,Reservaciones_Libros_2019,Estancia_Promedio
27/01/2019,,,,,,227,6.5770925
24/02/2019,,,,,,137,7.4160584
07/09/2018,,,,,,228,6.5131579
28/10/2018,,,,,,320,7.315625
10/05/2018,,,,,,498,7.7228916
13/08/2018,,,,,,142,6.6830986
09/09/2018,,,,,,172,6.6104651
17/12/2018,,,,,,50,6.36
21/09/2018,,,,,,218,6.4541284
08/02/2019,,,,,,268,8.619403
30/11/2018,,,,,,310,7.4709677
08/07/2018,,,,,,1000,6.548
03/09/2018,,,,,,53,6.2830189
01/10/2018,,,,,,97,8.0103093
29/09/2018,,,,,,265,7.045283
16/09/2018,,,,,,196,5.9846939
25/12/2018,,,,,,34,6.4411765
20/01/2019,,,,,,168,9.422619
11/07/2018,,,,,,562,3.2419929
06/06/2018,,,,,,98,5.4387755
31/12/2018,,,,,,83,87.518072
06/01/2019,,,,,,183,9.6885246
09/11/2018,,,,,,689,6.3454282
24/09/2018,,,,,,146,6.2808219
20/09/2018,,,,,,54,4.1296296
18/10/2018,,,,,,33,4.5757576
14/10/2018,,,,,,184,7.4565217
18/02/2019,,,,,,65,10.323077
30/07/2018,,,,,,149,6.5838926
12/10/2018,,,,,,275,7.2
09/05/2018,,,,,,141,5.3120567
17/09/2018,,,,,,123,6.0243902
23/05/2018,,,,,,167,4.5389222
19/08/2018,,,,,,247,6.5222672
19/06/2018,,,,,,96,5.5416667
12/06/2018,,,,,,91,5.9230769
26/06/2018,,,,,,68,5.5294118
08/05/2018,,,,,,98,5.6428571
12/08/2018,,,,,,492,6.3760163
21/06/2018,,,,,,115,4.7304348
04/07/2018,,,,,,62,5.1774194
17/08/2018,,,,,,344,6.9011628
27/08/2018,,,,,,44,5.7272727
29/10/2018,,,,,,481,4.8336798
27/06/2018,,,,,,66,4.2121212
20/11/2018,,,,,,23,5.6086957
24/08/2018,,,,,,321,6.2149533
26/07/2018,,,,,,46,3.9782609
23/10/2018,,,,,,35,6.7428571
02/08/2018,,,,,,40,4.8
30/05/2018,,,,,,113,5.1504425
19/07/2018,,,,,,43,4.4418605
09/08/2018,,,,,,28,3.8214286
05/06/2018,,,,,,702,4.8361823
05/07/2018,,,,,,98,4.7755102
12/07/2018,,,,,,85,3.7764706
17/10/2018,,,,,,636,3.2311321
09/10/2018,,,,,,30,6.3333333
05/11/2018,,,,,,183,7.8961749
06/10/2018,,,,,,466,6.9291845
13/01/2019,,,,,,142,8.0985915
03/02/2019,,,,,,147,9.7619048
09/12/2018,,,,,,583,4.2847341
28/09/2018,,,,,,196,6.2040816
22/01/2019,,,,,,23,7.0434783
22/10/2018,,,,,,1046,3.8145315
17/07/2018,,,,,,216,3.5972222
08/10/2018,,,,,,100,6.75
14/08/2018,,,,,,41,6.0243902
30/09/2018,,,,,,150,7.18
29/11/2018,,,,,,18,5.0555556
31/08/2018,,,,,,244,6.7418033
20/08/2018,,,,,,93,6.6666667
02/09/2018,,,,,,186,6.4892473
13/09/2018,,,,,,40,4.275
15/10/2018,,,,,,115,6.9826087
06/09/2018,,,,,,34,4.2647059
13/12/2018,,,,,,12,4.9166667
30/10/2018,,,,,,37,5.7837838
28/08/2018,,,,,,22,4.4090909
07/11/2018,,,,,,286,3.1993007
14/11/2018,,,,,,22,6.2727273
14/01/2019,,,,,,75,10.6
27/09/2018,,,,,,1097,3.1604376
22/11/2018,,,,,,31,4.9354839
21/11/2018,,,,,,17,4.8823529
08/01/2019,,,,,,27,7.3333333
10/07/2018,,,,,,101,5.1386139
24/10/2018,,,,,,83,4.4819277
04/09/2018,,,,,,32,5.875
06/11/2018,,,,,,46,6.5434783
06/12/2018,,,,,,15,4.4666667
08/11/2018,,,,,,223,3.9461883
01/11/2018,,,,,,289,3.8650519
13/06/2018,,,,,,78,5.3461538
01/01/2019,,,,,,40,7.05
22/05/2018,,,,,,138,5.1449275
16/08/2018,,,,,,22,5.1818182
29/05/2018,,,,,,96,6.6041667
11/10/2018,,,,,,32,3.9375
16/10/2018,,,,,,73,4.9589041
07/08/2018,,,,,,34,5.9411765
10/10/2018,,,,,,282,3.3049645
20/06/2018,,,,,,49,5.4081633
26/09/2018,,,,,,140,4.3642857
15/08/2018,,,,,,34,6.1470588
15/01/2019,,,,,,23,6.7826087
11/09/2018,,,,,,15,5.6
28/11/2018,,,,,,12,4.5
30/08/2018,,,,,,44,4.25
21/08/2018,,,,,,34,5.7058824
18/07/2018,,,,,,36,5.3333333
25/10/2018,,,,,,312,2.3269231
18/12/2018,,,,,,12,5.1666667
29/01/2019,,,,,,14,7.5714286
03/07/2018,,,,,,100,5.73
01/08/2018,,,,,,46,7.5869565
19/09/2018,,,,,,484,3.9958678
24/07/2018,,,,,,85,5.8470588
31/07/2018,,,,,,43,8.3488372
15/11/2018,,,,,,100,4.22
05/02/2019,,,,,,24,11.125
04/12/2018,,,,,,19,6.8421053
27/11/2018,,,,,,23,5.8695652
02/10/2018,,,,,,18,6.5555556
03/10/2018,,,,,,30,7.7
11/12/2018,,,,,,11,6.3636364
18/09/2018,,,,,,563,4.0763766
31/10/2018,,,,,,60,8.5333333
05/12/2018,,,,,,11,6.0909091
08/08/2018,,,,,,30,6.5
27/12/2018,,,,,,56,6.5178571
25/09/2018,,,,,,91,4.7362637
26/12/2018,,,,,,55,6.6363636
22/08/2018,,,,,,28,5.6071429
12/12/2018,,,,,,14,5.4285714
31/01/2019,,,,,,56,5.8928571
13/11/2018,,,,,,16,6.5625
12/02/2019,,,,,,57,6.6842105
14/02/2019,,,,,,61,6.557377
29/08/2018,,,,,,22,4.4545455
25/07/2018,,,,,,38,6.1315789
19/12/2018,,,,,,11,5.1818182
26/02/2019,,,,,,14,5.0714286
17/01/2019,,,,,,55,4.4181818
28/02/2019,,,,,,7,6.1428571
19/02/2019,,,,,,6,5.3333333
24/01/2019,,,,,,10,6
09/01/2019,,,,,,15,6.8
05/09/2018,,,,,,25,5.32
10/01/2019,,,,,,19,6.5263158
02/01/2019,,,,,,29,6.5862069
21/02/2019,,,,,,7,6.4285714
20/12/2018,,,,,,13,6.8461538
30/01/2019,,,,,,15,6.6666667
13/02/2019,,,,,,58,6.862069
03/01/2019,,,,,,21,6.4761905
16/01/2019,,,,,,12,7
27/02/2019,,,,,,5,7
07/02/2019,,,,,,11,7
23/01/2019,,,,,,18,7
20/02/2019,,,,,,3,7
06/02/2019,,,,,,10,6.7
