,FirstNight,Libros,Tasa_PickUP,TasaNoShow,TasaCancelación,Estancia_Promedio,ResvGorro
0,2018-05-01,229.0,0.059090909000000004,0.022727273,0.327272727,4.8977273,159.44963749706608
1,2018-05-02,328.0,0.202797203,0.020979021,0.048951049,6.603658500000001,367.3339952003408
2,2018-05-03,268.0,0.133111481,0.009983361,0.301164725,3.5268987000000003,210.09936820211465
3,2018-05-04,1236.0,0.07910447799999999,0.022885572000000003,0.074626866,6.015748,1205.9915871747621
4,2018-05-05,1289.0,0.054712893,0.09642470199999999,0.164138678,6.5818966,1026.7997432847621
5,2018-05-06,1082.0,0.047619048,0.029239766,0.10275689199999999,6.429166700000001,987.3082267051989
6,2018-05-07,405.0,0.146153846,0.069230769,0.08717948699999999,6.095693799999999,394.389503991305
7,2018-05-08,98.0,0.336448598,0.065420561,0.037383177999999996,5.4028777,117.82786390553724
8,2018-05-09,141.0,0.38297872299999997,0.035460992999999996,0.028368794,4.396226400000001,182.74935867464416
9,2018-05-10,498.0,0.26584867100000004,0.022494887999999998,0.05521472400000001,3.4826922999999996,582.1880494052981
10,2018-05-11,1366.0,0.15294924599999998,0.034293553,0.069958848,5.7188347,1414.51704515281
11,2018-05-12,1370.0,0.10266821300000001,0.0887471,0.121809745,6.348729799999999,1208.9071866473219
12,2018-05-13,979.0,0.134234234,0.024324323999999998,0.072972973,6.5229111,1004.345913817311
13,2018-05-14,396.0,0.17590361399999999,0.031325301,0.118072289,10.234624,397.81197874021353
14,2018-05-15,472.0,0.484848485,0.024242424,0.054545455,7.3838384,646.5568610894865
15,2018-05-16,235.0,0.418719212,0.019704433,0.049261084000000004,5.136986299999999,310.72959705988194
16,2018-05-17,533.0,0.26446281,0.019283747,0.081267218,3.9771812000000004,607.2476675381482
17,2018-05-18,1169.0,0.209435311,0.039313796,0.090779128,6.281183900000001,1234.9463936536465
18,2018-05-19,1112.0,0.08820346300000001,0.094155844,0.133658009,6.5409924,949.6372519426551
19,2018-05-20,966.0,0.15323993,0.030647986000000002,0.09106830099999999,6.4028021,981.5435288306489
20,2018-05-21,445.0,0.239904988,0.016627078,0.10213776699999999,6.0138249,487.16532359930227
21,2018-05-22,138.0,0.507936508,0.031746032,0.055555556,4.6225166,190.29520437010197
22,2018-05-23,167.0,0.47804878,0.029268292999999997,0.11707317099999999,5.9419642999999995,211.55786100019836
23,2018-05-24,1039.0,0.480349345,0.03930131,0.23580786,4.7088608,1129.1965131674042
24,2018-05-25,1086.0,0.288218794,0.037868162999999996,0.116409537,5.6426593,1189.337360408925
25,2018-05-26,1116.0,0.11022443900000001,0.10773067300000001,0.126683292,6.539532599999999,965.4787299415847
26,2018-05-27,873.0,0.247363375,0.036433365,0.082454458,6.2480843,962.7568445223659
27,2018-05-28,268.0,0.303370787,0.030898876000000002,0.073033708,6.4305177,313.7876277427174
28,2018-05-29,96.0,0.458536585,0.043902439,0.092682927,7.814978,121.46463615644602
29,2018-05-30,113.0,0.22965116300000002,0.01744186,0.078488372,3.5369175999999998,125.81124091798468
30,2018-05-31,194.0,0.478571429,0.028571429,0.085714286,5.242214499999999,254.763288511573
31,2018-06-01,1122.0,0.230721393,0.028606965,0.065920398,6.287561599999999,1252.9434790183607
32,2018-06-02,984.0,0.15966850800000001,0.070165746,0.116574586,6.8410595999999995,937.3556290472231
33,2018-06-03,874.0,0.262895175,0.020798669,0.073211314,6.4896437,1001.6856568427529
34,2018-06-04,409.0,0.323834197,0.025906736,0.07253886,6.220339,489.1625109919278
35,2018-06-05,702.0,0.414814815,,0.066666667,5.8815789,
36,2018-06-06,98.0,0.59602649,0.039735098999999996,0.119205298,5.1764706,132.29149359028077
37,2018-06-07,160.0,0.603238866,0.048582995999999996,0.09716599199999999,4.1641221,220.34187155179714
38,2018-06-08,1051.0,0.266965429,0.027528808999999998,0.068501921,6.204158799999999,1206.2190657411302
39,2018-06-09,1063.0,0.19558011,0.07237569099999999,0.114364641,6.5751238,1044.0925920845366
40,2018-06-10,955.0,0.287439614,0.02979066,0.065217391,6.472,1115.0807406178942
41,2018-06-11,303.0,0.358208955,0.039800995,0.07960199,6.1341176,363.7023780320354
42,2018-06-12,91.0,0.63559322,0.033898305,0.050847458,5.070922,136.48205505741765
43,2018-06-13,78.0,0.65625,0.03125,0.0859375,4.0794702,114.39527893066406
44,2018-06-14,137.0,0.45177665,0.017766497,0.23857868,4.527845,148.75108788504158
45,2018-06-15,1094.0,0.299386503,0.037423313,0.09263803699999999,5.890502099999999,1241.5710628292552
46,2018-06-16,1171.0,0.207618026,0.058476395,0.128755365,6.561665799999999,1159.9995256922568
47,2018-06-17,979.0,0.304131054,0.033475782999999995,0.083333333,6.4392324,1131.1705965257281
48,2018-06-18,364.0,0.390057361,0.034416826,0.07265774400000001,6.0327273,453.06847485969394
49,2018-06-19,96.0,0.64556962,0.025316456,0.088607595,4.6337209,140.3319412115173
50,2018-06-20,49.0,0.725,0.03125,0.18125,3.9578947,67.0421923828125
51,2018-06-21,115.0,0.8644444440000001,0.028888888999999997,0.37777777799999995,8.870212800000001,129.5572520342226
52,2018-06-22,1251.0,0.3408962,0.037436187999999995,0.11401021,6.2651007000000005,1430.575282582924
53,2018-06-23,1240.0,0.266329114,0.077468354,0.115949367,6.708605900000001,1280.6388991135336
54,2018-06-24,1186.0,0.28639745,0.020191286,0.061105207,6.4723992,1403.5183258580555
55,2018-06-25,385.0,0.396258503,0.018707483,0.071428571,6.226384400000001,489.8243426590418
56,2018-06-26,68.0,0.605263158,0.072368421,0.065789474,5.0,94.59657929144697
